           XData            YData 
 1.212973702E-03  1.931542156E+03 
 1.300762420E-03  1.928839016E+03 
 1.394904829E-03  1.926099716E+03 
 1.495860775E-03  1.923327946E+03 
 1.604123387E-03  1.920527396E+03 
 1.720221483E-03  1.917701707E+03 
 1.844722154E-03  1.914854429E+03 
 1.978233535E-03  1.911988969E+03 
 2.121407775E-03  1.909108553E+03 
 2.274944220E-03  1.906216187E+03 
 2.439592834E-03  1.903314617E+03 
 2.616157856E-03  1.900406307E+03 
 2.805501736E-03  1.897493411E+03 
 3.008549339E-03  1.894577760E+03 
 3.226292470E-03  1.891660848E+03 
 3.459794715E-03  1.888743835E+03 
 3.710196636E-03  1.885827549E+03 
 3.978721343E-03  1.882912495E+03 
 4.266680471E-03  1.879998873E+03 
 4.575480580E-03  1.877086597E+03 
 4.906630033E-03  1.874175320E+03 
 5.261746359E-03  1.871264459E+03 
 5.642564154E-03  1.868353225E+03 
 6.050943559E-03  1.865440652E+03 
 6.488879337E-03  1.862525624E+03 
 6.958510626E-03  1.859606903E+03 
 7.462131381E-03  1.856683154E+03 
 8.002201584E-03  1.853752973E+03 
 8.581359255E-03  1.850814901E+03 
 9.202433342E-03  1.847867448E+03 
 9.868457536E-03  1.844909107E+03 
 1.058268509E-02  1.841938365E+03 
 1.134860472E-02  1.838953718E+03 
 1.216995762E-02  1.835953677E+03 
 1.305075577E-02  1.832936770E+03 
 1.399530149E-02  1.829901557E+03 
 1.500820852E-02  1.826846622E+03 
 1.609442448E-02  1.823770582E+03 
 1.725925510E-02  1.820672084E+03 
 1.850839009E-02  1.817549809E+03 
 1.984793096E-02  1.814402467E+03 
 2.128442082E-02  1.811228800E+03 
 2.282487634E-02  1.808027575E+03 
 2.447682201E-02  1.804797591E+03 
 2.624832690E-02  1.801537669E+03 
 2.814804408E-02  1.798246657E+03 
 3.018525291E-02  1.794923422E+03 
 3.236990429E-02  1.791566853E+03 
 3.471266936E-02  1.788175858E+03 
 3.722499157E-02  1.784749360E+03 
 3.991914257E-02  1.781286300E+03 
 4.280828219E-02  1.777785631E+03 
 4.590652269E-02  1.774246319E+03 
 4.922899770E-02  1.770667340E+03 
 5.279193614E-02  1.767047681E+03 
 5.661274151E-02  1.763386336E+03 
 6.071007688E-02  1.759682308E+03 
 6.510395603E-02  1.755934605E+03 
 6.981584127E-02  1.752142239E+03 
 7.486874823E-02  1.748304229E+03 
 8.028735827E-02  1.744419593E+03 
 8.609813908E-02  1.740487355E+03 
 9.232947394E-02  1.736506539E+03 
 9.901180037E-02  1.732476168E+03 
 1.061777588E-01  1.728395268E+03 
 1.138623519E-01  1.724262862E+03 
 1.221031159E-01  1.720077971E+03 
 1.309403035E-01  1.715839616E+03 
 1.404170806E-01  1.711546812E+03 
 1.505797375E-01  1.707198574E+03 
 1.614779147E-01  1.702793911E+03 
 1.731648451E-01  1.698331828E+03 
 1.856976146E-01  1.693811324E+03 
 1.991374407E-01  1.689231393E+03 
 2.135499715E-01  1.684591024E+03 
 2.290056062E-01  1.679889198E+03 
 2.455798392E-01  1.675124889E+03 
 2.633536288E-01  1.670297065E+03 
 2.824137928E-01  1.665404684E+03 
 3.028534321E-01  1.660446698E+03 
 3.247723861E-01  1.655422048E+03 
 3.482777199E-01  1.650329667E+03 
 3.734842472E-01  1.645168480E+03 
 4.005150917E-01  1.639937398E+03 
 4.295022880E-01  1.634635326E+03 
 4.605874265E-01  1.629261156E+03 
 4.939223455E-01  1.623813769E+03 
 5.296698722E-01  1.618292036E+03 
 5.680046188E-01  1.612694816E+03 
 6.091138346E-01  1.607020954E+03 
 6.531983214E-01  1.601269285E+03 
 7.004734137E-01  1.595438630E+03 
 7.511700310E-01  1.589527797E+03 
 8.055358053E-01  1.583535580E+03 
 8.638362913E-01  1.577460761E+03 
 9.263562627E-01  1.571302106E+03 
 9.934011041E-01  1.565058368E+03 
 1.065298302E+00  1.558728284E+03 
 1.142399044E+00  1.552310577E+03 
 1.225079937E+00  1.545803955E+03 
 1.313744842E+00  1.539207108E+03 
 1.408826851E+00  1.532518711E+03 
 1.510790401E+00  1.525737424E+03 
 1.620133541E+00  1.518861890E+03 
 1.737390368E+00  1.511890733E+03 
 1.863133634E+00  1.504822560E+03 
 1.997977542E+00  1.497655964E+03 
 2.142580750E+00  1.490389514E+03 
 2.297649585E+00  1.483021766E+03 
 2.463941494E+00  1.475551254E+03 
 2.642268746E+00  1.467976495E+03 
 2.833502396E+00  1.460295985E+03 
